anyo;cut_region;region;cut_provincia;provincia;cut_comuna_anyocenso;cut_comuna;comuna;cut_distrito;distrito;censo_viviendas_totales;censo_viviendas_ocupadas;censo_viviendas_desocupadas;censo_viviendas_urbanas;censo_viviendas_rurales;censo_viviendas_tipo_casa;censo_viviendas_tipo_departamento;censo_viviendas_tipo_otros;censo_viviendas_agua_por_red_publica;censo_viviendas_agua_por_pozo_o_noria;censo_viviendas_agua_por_camion;censo_viviendas_agua_por_rio;censo_viviendas_agua_por_otro;censo_viviendas_agua_no_se_puede_determinar;censo_viviendas_tratamiento_aguas_por_red_publica_alcantarillado;censo_viviendas_tratamiento_aguas_por_pozo_fosa_septica;censo_viviendas_tratamiento_aguas_por_red_publica_alcantarillado_o_fosa_septica;censo_viviendas_tratamiento_aguas_por_pozo_negro;censo_viviendas_tratamiento_aguas_por_otro;censo_viviendas_tratamiento_aguas_no_tiene;censo_viviendas_tratamiento_aguas_no_se_puede_determinar;censo_viviendas_electricidad_por_red_publica;censo_viviendas_electricidad_por_generador;censo_viviendas_electricidad_por_ernc;censo_viviendas_electricidad_por_otro;censo_viviendas_electricidad_no_tiene;censo_viviendas_electricidad_no_se_puede_determinar;censo_total_poblacion;num_distrito
1982;1;De Tarapacá;14;Tamarugal;211;1404;Huara;14046;;88;42;46;0;88;54;0;34;10;0;;25;6.0;47.0;;;1.0;11.0;0.0;;;0.0;;;;41.0;47.0;102;6
1982;1;De Tarapacá;14;Tamarugal;211;1404;Huara;14047;;208;109;99;0;208;163;0;45;13;3;;80;0.0;112.0;;;5.0;29.0;0.0;;;48.0;;;;48.0;112.0;327;7
1982;1;De Tarapacá;14;Tamarugal;211;1404;Huara;14048;;18;10;8;0;18;0;0;18;0;0;;8;0.0;10.0;;;;;;;;0.0;;;;8.0;10.0;13;8
1982;1;De Tarapacá;14;Tamarugal;212;1402;Camiña;14021;;521;362;159;0;521;162;0;359;84;6;;250;1.0;180.0;;;11.0;143.0;0.0;;;104.0;;;;237.0;180.0;1488;1
1982;1;De Tarapacá;14;Tamarugal;213;1403;Colchane;14031;;658;254;404;0;658;199;0;459;3;131;;111;0.0;413.0;;;5.0;75.0;0.0;;;24.0;;;;221.0;413.0;1126;1
1982;1;De Tarapacá;14;Tamarugal;213;1403;Colchane;14032;;306;94;212;0;306;44;0;262;0;32;;59;0.0;215.0;;;0.0;18.0;0.0;;;0.0;;;;91.0;215.0;330;2
1982;1;De Tarapacá;14;Tamarugal;213;1403;Colchane;14033;;32;3;29;0;32;0;0;32;0;1;;2;0.0;29.0;;;1.0;0.0;0.0;;;0.0;;;;3.0;29.0;5;3
1982;1;De Tarapacá;14;Tamarugal;213;1403;Colchane;14034;;32;9;23;0;32;0;0;32;0;0;;9;0.0;23.0;;;1.0;0.0;0.0;;;0.0;;;;9.0;23.0;38;4
1982;1;De Tarapacá;14;Tamarugal;214;1405;Pica;14051;;679;490;189;558;121;619;2;58;396;14;;9;28.0;232.0;;;131.0;297.0;0.0;;;367.0;;;;80.0;232.0;1520;1
1982;1;De Tarapacá;14;Tamarugal;214;1405;Pica;14052;;18;17;1;0;18;1;0;17;4;0;;7;0.0;7.0;;;;;;;;0.0;;;;11.0;7.0;132;2
