anyo;cut_comuna_anyocenso;cut_distrito;censo_total_poblacion
1982;312;2;427
1982;312;3;961
1982;313;1;1368
1982;313;2;989
1982;313;3;203
1982;313;4;919
1982;313;5;526
1982;313;6;44
1982;313;7;172
1982;313;8;4174
1982;314;1;14692
1982;314;2;30174
1982;314;3;394
1982;314;4;459
1982;314;5;418
1982;314;6;235
1982;314;7;40
1982;314;8;39425
1982;315;1;2751
1982;315;2;13933
1982;315;3;6790
1982;315;4;13203
1982;315;5;19327
1982;315;6;579
1982;315;7;107
1982;316;1;8152
1982;316;2;541
1982;316;3;664
1982;316;4;249
1982;316;5;724
1982;316;6;217
1982;316;7;138
1982;316;8;622
1982;316;9;176
1982;316;10;594
1982;316;11;554
1982;316;12;993
1982;316;13;589
1982;317;1;519
1982;318;5;13754
1982;318;8;103
1982;320;1;41830
1982;320;2;465
1982;320;3;1635
1982;320;4;22890
1982;321;1;9387
1982;321;2;408
1982;321;3;305
1982;322;1;3187
1982;323;1;4317
1982;324;1;3066
1982;324;2;1502
1982;324;3;117
1982;325;1;2507
1982;325;2;841
1982;325;3;1297
1982;330;1;1936
1982;335;1;5314
1982;335;2;4356
1982;335;3;3165
1982;335;4;7596
1982;335;5;15685
1982;335;6;19158
1982;335;7;22192
1982;335;8;30626
1982;335;9;14581
1982;335;10;1194
1982;335;11;4329
1982;335;12;1876
1982;335;13;1814
1982;335;14;1608
1982;335;15;15264
1982;336;1;14014
1982;336;2;1810
1982;336;3;3125
1982;337;1;368
1982;337;2;10027
1982;337;3;1472
1982;337;4;3435
1982;338;1;4760
1982;338;2;3227
1982;339;1;903
1982;339;2;4952
1982;339;3;8649
1982;339;5;211
1982;339;6;39
1982;339;7;1113
1982;339;8;2740
1982;339;9;1104
1982;340;1;4154
1982;340;2;2739
1982;340;3;999
1982;341;1;9062
1982;341;2;1342
1982;341;3;2675
1982;341;4;342
1982;341;5;1091
1982;342;1;2148
1982;342;2;4963
1982;342;3;519
1982;342;4;13179
1982;342;5;1050
1982;342;6;1910
1982;342;7;1626
1982;342;8;4670
1982;342;9;3572
1982;343;1;379
1982;343;2;4102
1982;343;3;2762
1982;343;4;1800
1982;343;5;730
1982;343;6;461
1982;343;7;609
1982;344;1;5126
1982;344;2;1842
1982;344;3;591
1982;344;4;840
1982;345;1;10358
1982;345;2;2084
1982;345;3;3677
1982;345;4;2024
1982;345;5;1495
1982;345;6;1496
1982;345;7;1641
1982;345;8;1903
1982;345;9;1106
1982;345;10;2139
1982;345;11;1291
1982;345;12;2023
1982;346;1;4102
1982;346;2;2172
1982;346;3;2028
1982;346;4;2759
1982;346;5;3467
1982;346;6;378
1982;347;1;4086
1982;347;2;2486
1982;347;3;2862
1982;347;4;2914
1982;348;1;1661
1982;348;2;1172
1982;348;3;1672
1982;348;4;1493
1982;348;5;2351
1982;348;6;1848
1982;348;7;2968
1982;349;1;1920
1982;349;2;1412
1982;349;3;1259
1982;349;4;765
1982;350;1;5084
1982;350;2;1443
1982;350;3;2607
1982;350;4;2936
1982;351;1;4643
1982;351;2;1942
1982;351;3;3832
1982;351;4;2549
1982;351;5;1155
1982;351;6;472
1982;351;7;333
1982;355;1;12261
1982;355;2;3093
1982;355;3;1803
1982;355;4;2103
1982;355;5;643
1982;355;6;801
1982;355;7;131
1982;355;8;1226
1982;355;9;1387
1982;355;10;457
1982;355;11;9593
1982;355;12;8474
1982;355;13;4805
1982;356;1;5161
1982;356;2;2665
1982;356;3;2624
1982;356;4;4051
1982;356;5;2793
1982;356;6;4774
1982;356;7;1118
1982;356;8;2249
1982;356;9;1589
1982;357;1;2601
1982;357;2;671
1982;357;3;2022
1982;357;4;1843
1982;358;1;5490
1982;358;2;548
1982;358;3;1066
1982;358;4;2297
1982;358;5;2791
1982;358;6;389
1982;359;1;5878
1982;359;2;3336
1982;359;3;3293
1982;359;4;975
1982;360;1;6501
1982;360;2;8175
1982;360;3;1334
1982;360;4;1529
1982;360;5;1330
1982;360;6;1781
1982;360;7;1719
1982;360;8;2071
1982;360;9;1444
1982;360;11;759
1982;361;1;3148
1982;361;2;1410
1982;361;3;844
1982;361;4;1259
1982;362;1;1423
1982;362;2;650
1982;362;3;750
1982;362;4;667
1982;362;5;425
1982;363;1;2109
1982;363;2;3152
1982;363;3;4480
1982;364;1;3962
1982;364;2;2182
1982;364;3;1410
1982;364;4;661
1982;370;1;6169
1982;370;2;409
1982;370;3;846
1982;370;4;111
1982;370;5;111
1982;370;6;685
1982;371;1;1330
1982;371;2;707
1982;371;3;1950
1982;371;4;1056
1982;371;5;630
1982;372;1;1481
1982;372;2;578
1982;372;3;752
1982;372;4;554
1982;372;5;86
1982;372;6;481
1982;372;7;1208
1982;373;1;1305
1982;373;2;557
1982;373;3;393
1982;373;4;432
1982;374;1;3634
1982;374;2;1730
1982;374;3;268
1982;375;1;1572
1982;375;2;1463
1982;375;3;398
1982;375;4;1382
1982;375;5;1900
1982;380;1;6318
1982;380;2;10218
1982;380;3;15487
1982;380;4;7501
1982;380;5;16418
1982;380;6;2991
1982;380;7;6069
1982;380;8;2299
1982;380;9;2767
1982;380;10;1685
1982;380;11;4111
1982;380;12;4794
1982;380;13;2500
1982;380;14;686
1982;380;15;854
1982;381;1;5344
1982;381;2;2120
1982;381;3;2597
1982;381;4;2492
1982;381;5;6759
1982;381;6;589
1982;382;1;5442
1982;382;2;2581
1982;382;3;1191
1982;382;4;533
1982;382;5;384
1982;383;1;4253
1982;383;2;7705
1982;383;3;2093
1982;383;4;8000
1982;383;5;3734
1982;383;6;3430
1982;383;7;1557
1982;383;8;532
1982;383;9;479
1982;383;10;339
1982;384;1;2432
1982;384;2;1270
1982;384;3;3202
1982;384;4;2341
1982;384;5;837
1982;384;6;234
1982;384;7;2333
1982;384;8;705
1982;384;9;3573
1982;385;1;4280
1982;385;2;1037
1982;385;3;1073
1982;385;4;1803
1982;386;1;2900
1982;386;2;1171
1982;386;3;1224
1982;387;1;1689
1982;387;2;1232
1982;387;3;801
1982;387;4;338
1982;388;1;4113
1982;388;2;1069
1982;388;3;1333
1982;388;4;495
1982;390;1;6858
1982;390;2;9312
1982;390;3;9534
1982;390;4;17730
